,Reference Code,Solution Name (Eng),Cosine Similarity,Business Reference Code
0,S-0113,Video Analytics Solution,0.8393359780311584,N-0001
1,S-0038,Hybrid Reality Platform,0.799210786819458,N-0001
2,S-0044,AI Escalator Safety Monitoring System,0.7952966094017029,N-0001
3,S-0031,PowerArena - Smart City Operations Platform,0.7861528992652893,N-0001
4,S-0022,A smart lamp pole system with AI-enabled security system,0.7822436094284058,N-0001
5,S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.7740203142166138,N-0001
6,S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.7602465748786926,N-0001
7,S-0128,Iris by HKT - From Surveillance to Intelligence,0.7547048330307007,N-0001
8,S-0072,Digital Twin of the City (or Town),0.7524504065513611,N-0001
9,S-0010,Precise Facility Crowd Analysis,0.7443233728408813,N-0001
10,S-0063,UHD Multi-Channel Video Live Broadcast,0.7327157258987427,N-0001
11,S-0194,UWB Beacon RTLS Solution,0.7319508194923401,N-0001
12,S-0234,Pixel Eye Vision-Based Fall Detection,0.7317832708358765,N-0001
13,S-0001,PixelEye Object Detection,0.7306481003761292,N-0001
14,S-0196,Personnel and Asset positioning management system,0.7232193946838379,N-0001
15,S-0214,ACX Visitor Management System,0.7184287905693054,N-0001
16,S-0195,SuperAcc Document Intelligence,0.7174274921417236,N-0001
17,S-0027,Big Data Enabler Service (project based),0.7172874808311462,N-0001
18,S-0067,AR Smart Glass Assisted for equipment training and O&M,0.7144312262535095,N-0001
19,S-0061,A.I. and Mixed Reality Solution,0.7132790684700012,N-0001
20,S-0152,Datax,0.7122588753700256,N-0001
21,S-0099,NB IoT Sensor Solution,0.7116540670394897,N-0001
22,S-0036,Intelligent Traffic Monitoring,0.709114670753479,N-0001
23,S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.7085265517234802,N-0001
24,S-0231,AI Information push service management system,0.7082058191299438,N-0001
25,S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.705626904964447,N-0001
