,Reference Code,year,Sentence Output,Answer
0,S-0001,,the google adsense service we use to serve advertising uses a doubleclick cookie to serve more relevant ads across the web and limit the number of times that a given ad is shown to you.,google adsense
1,S-0003,1998," the professional services division includes project managers, consultants, gis specialists, system analysts, developers, trainers and the customer support staff providing full project life - cycle services at competitive rates and rapid turnaround time to facilitate your project progress, resulting in achieving better business goals.",full project life - cycle services
2,S-0004,2017,euclideon pty ltd is committed to providing you with the best possible customer service experience.,customer service experience
3,S-0005,1974,"some of our products : 3g mobile boradband solution synchronised we deliver products that are readily available through partnership and alliances, and we design, develop, and integrate niche solution so that we are in competitive position to offer complete solution to our customers.",3g mobile boradband solution synchronised
4,S-0006,,innovation gps ( [UNK] [UNK] [UNK] [UNK] ) interviewed lands department of hong kong government about its services of satref.,satref
5,S-0007,1997,"since 2003, we has provided remote access service, appointment for free access service and instant feedback from our professionals.","remote access service, appointment for free access service and instant feedback from our professionals"
6,S-0009,,"throughout the programme, we provide one - stop service – from selecting appropriate solutions for your company, providing assistance in application to managing project process.",one - stop service
7,S-0014,, are they attracted by the promotion products?,promotion
8,S-0021,1985," through the exchange of international contacts, project management skills, technical talents, ",management
9,S-0022,,,
10,S-0023,2014,"customize your system build a custom point of sales, self service kiosk, or any other in - person payment solution with our api.",self service kiosk
11,S-0024,1961,"the legal basis for our processing of personal data is a legitimate interest in marketing our services and products, communicating with customers, suppliers, and other stakeholders as well as offering an interesting, safe and user - friendly website.",website
12,S-0026,2012," what you need is to define the campaign criteria in step 1, then you have to describe your products in step 2, and finally you have to provide your ad creatives in step 3.",ad creatives
13,S-0028,2013,"automate your business by award - winning erp solution press interview of appcider by rthk appcider was being interviewed by rthk e - line financial network to present the company ’ s establishment process, our new generation cloud supply chain system, and how the team can help customers solve operational problems, product advantages, operating models, shipany logistics platform, and future directions.",cloud supply chain system
14,S-0029,2016," news may 2020 new product – using the iot technology, we create smart products improving the health & safety of workers and management of construction sites.",smart products
