Reference Code,Solution Name (Eng),Cosine Similarity
S-0027,Big Data Enabler Service (project based),0.8088306188583374
S-0230,STEMHUB Education Platform,0.7966026067733765
S-0031,PowerArena - Smart City Operations Platform,0.7691304683685303
S-0219,"VR Virtual Store, Training & Education System",0.7686746716499329
S-0174,VR Training & Education System,0.7685221433639526
S-0090,Smart Employee Learning Management,0.7647350430488586
S-0228,eClass Corporate Learning Management System (LMS),0.7554842233657837
S-0169,Robotic Assistant,0.7519730925559998
S-0246,Remo Video Conferencing,0.737868070602417
S-0180,AR/ VR/ Interactive Design & Development,0.7345890998840332
S-0046,SAP Digital Boardroom,0.727971076965332
S-0085,SAP Geospatial Asset Management,0.7249637842178345
S-0010,Precise Facility Crowd Analysis,0.7241309881210327
S-0064,Smart Education(Class VR),0.718572735786438
S-0038,Hybrid Reality Platform,0.7171750664710999
S-0137,Splunk,0.7162876129150391
S-0113,Video Analytics Solution,0.7138838768005371
S-0037,4D Immersive CAVE,0.7133916616439819
S-0259,Software Robotic Solution - iBot,0.710264265537262
S-0060,FROM Network Audit Programs,0.7078168988227844
S-0275,SMore-OCR,0.7075998783111572
S-0221,AI and IT enhanced learning platform,0.7070376873016357
S-0001,PixelEye Object Detection,0.7027396559715271
S-0044,AI Escalator Safety Monitoring System,0.7026534080505371
S-0110,People Counting System (PCS),0.7008777856826782
S-0195,SuperAcc Document Intelligence,0.6991326808929443
S-0089,Smart Infrastructure Projects Planning and Execution,0.6987831592559814
S-0300,Smart Guiding Robot,0.6974563002586365
S-0119,Ziizau - Optimization of route design,0.6953005790710449
S-0209,Control-M (BMC Software),0.685155987739563
S-0225,DocAnalyzer - Document Review Solution,0.6823551654815674
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.6814042329788208
S-0026,Knowledge Management Solution (KM Power),0.680050253868103
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.6781234741210938
S-0248,OFS Website Tracking System,0.677933931350708
S-0127,Event Management technology,0.6778668165206909
S-0016,Cyclops -- Smart City & unmanned store solution,0.6771243810653687
S-0252,Critical Event Management,0.6764963865280151
S-0224,OceanX Workflow,0.6763066053390503
S-0072,Digital Twin of the City (or Town),0.6716340780258179
S-0126,Self Service Business Intelligence,0.6706057786941528
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.670372486114502
S-0216,BMC Helix Service & Operations Management,0.6682749390602112
S-0265,Business Process Management Platform,0.6647503972053528
S-0003,GeoSpatial Cloud,0.6641718149185181
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.6641248464584351
S-0058,IoT Cybersecurity Testing and Certification Program,0.6637044548988342
S-0036,Intelligent Traffic Monitoring,0.6599432229995728
S-0231,AI Information push service management system,0.6590948700904846
S-0171,Augmented Reality (AR) model,0.6586665511131287
